start_date,distance [km],average_speed [km/h],max_speed [km/h],moving_time [min],total_elevation_gain [m],type,gear_id,kilojoules
2024-04-06T08:04:24Z,18.2145,3.2976,68.616,331.43,294.3,Walk,,
2024-04-02T09:59:14Z,3.1611,8.2944,37.3536,22.87,66.9,Run,,
2024-03-24T08:44:56Z,25.906299999999998,3.6288,36.1368,428.55,20.3,Ride,b10386566,2869.9
2024-03-22T12:14:29Z,13.7746,14.7996,67.25880000000001,55.85,182.4,Ride,b10386566,374.0
2024-03-21T09:24:07Z,24.1348,12.009599999999999,39.312,120.58,437.4,Ride,b10386566,840.8
2024-03-17T09:31:57Z,41.1926,16.660800000000002,46.3896,148.35,403.5,Ride,b10386566,1105.5
2024-03-15T15:46:25Z,23.4629,17.244,49.104000000000006,81.63,274.5,Ride,b10386566,638.3
2024-03-09T07:55:48Z,3.9406,8.4096,18.8748,28.12,106.2,Run,,
2024-02-25T09:07:34Z,12.4803,8.9532,32.025600000000004,83.63,241.6,NordicSki,,
2024-02-21T05:58:33Z,37.5177,18.3528,72.83160000000001,122.67,233.9,Ride,b10386566,891.2
2024-02-19T06:15:54Z,39.3838,18.968400000000003,41.8392,124.57,177.3,Ride,b10386566,901.3
2024-02-18T15:24:42Z,6.486,11.548800000000002,32.882400000000004,33.7,100.6,Ride,b10386566,256.6
2024-02-18T13:05:51Z,18.029700000000002,18.529200000000003,31.895999999999997,58.38,33.7,Ride,b10386566,372.8
2024-02-17T11:14:13Z,49.706199999999995,16.8192,32.5512,177.33,86.5,Ride,b10386566,940.9
2024-02-16T08:50:51Z,13.8873,20.3652,63.18000000000001,40.92,128.3,Ride,b10386566,352.5
2024-02-12T15:23:56Z,9.9118,16.1172,35.0208,36.9,67.3,Ride,b10386566,252.7
2024-02-10T09:52:05Z,17.418,4.3020000000000005,66.77279999999999,242.97,345.0,Walk,,
2024-02-03T09:53:47Z,26.5153,18.81,38.916000000000004,84.58,190.0,Ride,b10386566,634.9
2024-01-14T09:15:23Z,22.5587,7.0272,26.64,192.58,316.1,NordicSki,,
2024-01-13T10:59:49Z,16.3952,5.256,26.9856,187.1,302.2,NordicSki,,
2023-12-03T15:34:31Z,1.69,6.058800000000001,12.7296,16.73,7.0,NordicSki,,
2023-12-03T12:31:52Z,10.8045,6.368399999999999,29.6928,101.82,106.9,NordicSki,,
2023-11-17T10:49:28Z,56.3642,16.578000000000003,44.3088,203.98,650.9,Ride,b10386566,1542.9
2023-11-01T06:19:07Z,3.1194,12.9672,45.972,14.43,68.9,Run,,
2023-10-31T15:16:36Z,12.6029,19.1016,58.647600000000004,39.58,68.9,Ride,b10386566,313.7
2023-10-31T05:45:45Z,12.7017,19.7424,47.7648,38.6,91.1,Ride,b10386566,333.3
2023-10-22T11:14:46Z,58.2885,20.502000000000002,46.512,170.58,398.7,Ride,b10386566,1481.0
2023-10-11T13:24:57Z,11.884799999999998,17.715600000000002,36.3384,40.25,70.7,Ride,b7982751,342.1
2023-10-11T05:21:14Z,12.992899999999999,14.4,36.7416,54.13,90.9,Ride,b7982751,468.2
2023-10-06T13:06:37Z,12.4107,16.614,39.1032,44.82,70.6,Ride,b7982751,391.0
2023-10-06T05:32:22Z,13.884,14.853600000000002,46.3968,56.08,97.3,Ride,b7982751,517.4
2023-10-02T14:11:05Z,10.987,18.1944,44.114399999999996,36.23,63.3,Ride,b7982751,305.3
2023-10-02T04:59:18Z,12.8988,16.855200000000004,38.973600000000005,45.92,90.9,Ride,b7982751,413.8
2023-09-17T14:11:35Z,29.4651,15.552000000000001,92.5056,113.67,192.1,Ride,b7982751,1070.9
2023-09-13T13:55:42Z,13.175799999999999,16.606800000000003,65.2464,47.6,71.0,Ride,b7982751,399.0
